Sales;Date
8235,00;01/09/2013
236400,00;01/09/2013
534450,00;01/09/2013
40837,50;01/09/2013
741906,00;01/09/2013
23629,32;01/09/2013
610081,50;01/09/2013
11950,40;01/09/2013
14131,20;01/09/2013
50803,20;01/09/2013
117264,00;01/09/2013
15620,85;01/09/2013
239400,00;01/09/2013
34112,40;01/09/2013
6711,81;01/09/2013
24719,40;01/09/2013
40887,45;01/09/2013
313317,00;01/09/2013
115552,50;01/09/2013
354108,00;01/09/2013
15513,96;01/09/2013
87906,00;01/09/2013
24395,28;01/09/2013
10733,40;01/09/2013
49929,00;01/09/2013
8744,25;01/09/2013
105353,75;01/09/2013
2367,40;01/09/2013
265760,00;01/09/2013
191884,00;01/09/2013
29156,16;01/09/2013
7690,80;01/09/2013
8613,00;01/09/2013
109972,50;01/09/2013
31863,00;01/09/2013
43125,00;01/10/2013
43125,00;01/10/2013
9100,08;01/10/2013
146718,00;01/10/2013
82046,25;01/10/2013
9100,08;01/10/2013
82046,25;01/10/2013
146718,00;01/10/2013
62916,00;01/10/2013
99102,50;01/10/2013
262762,50;01/10/2013
1017338,00;01/10/2013
99102,50;01/10/2013
262762,50;01/10/2013
62916,00;01/10/2013
1017338,00;01/10/2013
28299,75;01/10/2013
28299,75;01/10/2013
19158,72;01/10/2013
19158,72;01/10/2013
9662,40;01/10/2013
21801,60;01/10/2013
21801,60;01/10/2013
9662,40;01/10/2013
7707,35;01/10/2013
7707,35;01/10/2013
408310,00;01/10/2013
26391,00;01/10/2013
83600,00;01/10/2013
83600,00;01/10/2013
26391,00;01/10/2013
408310,00;01/10/2013
25932,72;01/10/2013
9231,74;01/10/2013
25932,72;01/10/2013
239183,00;01/10/2013
344322,00;01/10/2013
683004,00;01/10/2013
344322,00;01/10/2013
239183,00;01/10/2013
9231,74;01/10/2013
683004,00;01/10/2013
33031,60;01/10/2013
33031,60;01/10/2013
4007,64;01/10/2013
4007,64;01/10/2013
4168,80;01/10/2013
4168,80;01/10/2013
29254,50;01/10/2013
619380,00;01/10/2013
619380,00;01/10/2013
29254,50;01/10/2013
12794,64;01/10/2013
12794,64;01/10/2013
53257,60;01/10/2013
53257,60;01/10/2013
107156,00;01/10/2013
107156,00;01/10/2013
30184,00;01/10/2013
30184,00;01/10/2013
18035,92;01/10/2013
18035,92;01/10/2013
10396,54;01/10/2013
22484,70;01/10/2013
69402,00;01/10/2013
69402,00;01/10/2013
22484,70;01/10/2013
10396,54;01/10/2013
4539,00;01/10/2013
4539,00;01/10/2013
603750,00;01/11/2013
10944,00;01/11/2013
14497,56;01/11/2013
4766,85;01/11/2013
14714,70;01/11/2013
203350,00;01/11/2013
20991,60;01/11/2013
6756,40;01/11/2013
24035,00;01/11/2013
43643,00;01/11/2013
1730,54;01/11/2013
21112,40;01/11/2013
290625,00;01/11/2013
391716,00;01/11/2013
30835,08;01/11/2013
691012,00;01/11/2013
106536,00;01/11/2013
211233,75;01/11/2013
19383,00;01/11/2013
13240,50;01/11/2013
48812,40;01/11/2013
202950,00;01/11/2013
20826,00;01/11/2013
16858,38;01/11/2013
52243,00;01/11/2013
33633,60;01/11/2013
679905,00;01/11/2013
22931,04;01/11/2013
578522,00;01/11/2013
654288,00;01/11/2013
24123,00;01/11/2013
597082,50;01/11/2013
639922,50;01/11/2013
656370,00;01/11/2013
313862,50;01/11/2013
32280,00;01/12/2013
28297,50;01/12/2013
13809,18;01/12/2013
10662,40;01/12/2013
91238,00;01/12/2013
665420,00;01/12/2013
10569,12;01/12/2013
32558,40;01/12/2013
597408,00;01/12/2013
313500,00;01/12/2013
34238,00;01/12/2013
14204,40;01/12/2013
30153,00;01/12/2013
19627,00;01/12/2013
104222,50;01/12/2013
686952,00;01/12/2013
13833,75;01/12/2013
26430,60;01/12/2013
10936,80;01/12/2013
12532,24;01/12/2013
